Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Cup,Bra,Bust,Waist,Hip,Weight,Height
Claire Castel,Fleur,Unknown,Caucasian,"January 15, 1986",2010,C,34C,86,60 cm,91 cm,49 kg,165 cm
Nux Vomica,"Petra Kasl, Suspiria",Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Madison,"Madison Foxxx, Kimberly Madison, Madison Stone",Unknown,Caucasian,"January 12, 1965",1990,B,35B,88,58 cm,86 cm,48 kg,157 cm
Kasia Linsey,"Katerina Szitkova, Kate, Kasia B",Unknown,Caucasian,"November 20, 1986",2007,A,31A,78,58 cm,88 cm,44 kg,167 cm
Donna Ambrose,"Deena, Donna Collins, Sara Ambrose, Danica Collins",Unknown,Black,"July 1, 1965",1981,G,34G,86,63 cm,91 cm,62 kg,167 cm
Saya Tachibana,Saaya,Unknown,Asian,"September 18, 1989",Unknown,C,33C,83,55 cm,83 cm,Unknown,157 cm
Angel Hott,"Elizabeth Rose, Marlenka Durova, Angel L., Angel Hot",Unknown,Caucasian,"June 30, 1993",2011,B,34B,86,60 cm,83 cm,48 kg,172 cm
Yasmine Gold,"Chery, Yasmin, Ginevra Gold, Yasmine Blake, Adri, Eva Lopez, Cherie, Jasmine Gold",Unknown,Caucasian,"October 22, 1985",2003,A,32A,81,60 cm,86 cm,49 kg,167 cm
Isabel Rose,Unknown,Unknown,Caucasian,1987,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kayla Carrera,Kayla Carerra,Unknown,Latin,"June 30, 1978",2007,DD,34DD,86,66 cm,91 cm,59 kg,172 cm
Mikayla,"Mrs. Mikayla, Mikayla Coxxx, Mckayla, Mikayla Cox, Makayla, Mickayla, Mikayla Mendez",Unknown,Latin,"August 29, 1980",2002,D,34D,86,71 cm,96 cm,59 kg,170 cm
Kylee Strutt,"Kaylee, Jada Julez",Unknown,Caucasian,"February 12, 1987",2008,DD,34DD,86,63 cm,86 cm,54 kg,154 cm
Chasey Lain,"Chasey Laine, Chaisey Lane, Tiffany Anne, Tiffany Jones, Chasey Lane",American,Caucasian,"December 7, 1971",1993,D,36D,91,58 cm,86 cm,51 kg,165 cm
Nami Itosino,"Mako Nagase, Nami Itoshino, Minami Aida, Nami Aino",Unknown,Asian,"November 30, 1992",Unknown,DD,34DD,86,58 cm,88 cm,53 kg,162 cm
Carmen Luvana,Unknown,Unknown,Latin,"August 23, 1981",2001,C,34C,86,60 cm,91 cm,44 kg,154 cm
Mindy Main,"Mandy Main, Desiree Gomez",Unknown,Caucasian,"April 30, 1986",2006,D,36D,91,60 cm,91 cm,53 kg,162 cm
Miku Kohinata,"Yuhko Kojima, YÃ»ko Kojima, Rina Kikukawa, Yuuko Kojima",Unknown,Asian,"November 17, 1989",2010,D,35D,88,58 cm,83 cm,Unknown,157 cm
Mia Collins,FTV Gwen,Unknown,Caucasian,"October 30, 1998",2018,D,36D,91,66 cm,88 cm,54 kg,167 cm
Brynn Michaels,Unknown,American,Caucasian,"September 4, 1997",2021,C,28C,71,68 cm,101 cm,60 kg,160 cm
Melina Amaru,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sadie Blair,Unknown,Unknown,Caucasian,"January 1, 1993",2015,A,34A,86,66 cm,91 cm,53 kg,162 cm
Ema Kato,"Ema Katou, Miyabi Saito, Sara Maeda, Ema Maeda, Ema Katoh, Miyabi Saitou, Yui Maehara, Mayu, Miyabi Saitoh",Unknown,Asian,"August 2, 1994",Unknown,C,33C,83,58 cm,83 cm,49 kg,162 cm
Giada Sgh,Giada Suicide,Unknown,Caucasian,"September 1, 1999",2020,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,162 cm
Jun Kusanagi,"June Kusanagi, Mizuho Kanou, Narua Asami, Kusanagi Jun, Kirin Junna, Mizuho Kano",Unknown,Asian,"June 5, 1978",Unknown,C,37C,93,58 cm,86 cm,48 kg,165 cm
Autumn Flowers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Venere Moras,"Vanisha99, Vanessa Zeneli",Italian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jamie Croft,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Miya Stone,Mia Stone,Unknown,Latin,"June 26, 1985",2014,C,32C,81,60 cm,86 cm,46 kg,154 cm
Cate Harrington,Unknown,Unknown,Caucasian,"August 14, 1987",2008,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,157 cm
Serena Ali,Unknown,Unknown,Black,"January 1, 1991",Unknown,D,36D,91,71 cm,91 cm,70 kg,177 cm
Jeniffer Flex,Unknown,Unknown,Caucasian,Unknown,2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aspen Reign,"Aspen Reigh, Aspen Reigns, Aspen Rains, Aspen Rain",Unknown,Caucasian,"March 16, 1979",1999,DD,36DD,91,66 cm,93 cm,59 kg,167 cm
Alysha Rylee,"Alysha Ryy, Alyshe Rylee, Alicia Shabra",Unknown,Caucasian,"May 15, 1991",2011,D,34D,86,60 cm,88 cm,59 kg,177 cm
Mylie Villa,Miley Villa,Unknown,Asian,"March 26, 1988",2008,A,34A,86,60 cm,86 cm,51 kg,149 cm
Nina Devon,Unknown,Unknown,Black,"October 20, 1985",2008,B,32B,81,60 cm,91 cm,43 kg,149 cm
Vicki Wade,Vickie Wade,Russian,Caucasian,"January 1, 1998",2023,B,33B,83,58 cm,83 cm,Unknown,162 cm
Awesome Ashley,Unknown,Unknown,Caucasian,Unknown,Unknown,DD,42DD,106,63 cm,93 cm,64 kg,165 cm
Loredana Groza,Unknown,Romanian,Caucasian,"June 10, 1970",Unknown,Unknown,Unknown,86,68 cm,86 cm,55 kg,165 cm
Viviane Leigh,Unknown,Australian,Asian,"September 6, 1995",2018,C,34C,86,63 cm,88 cm,49 kg,157 cm
Virginia Sun,Unknown,Unknown,Caucasian,"November 30, 1990",2010,A,33A,83,60 cm,86 cm,48 kg,167 cm
Tysen Rich,Sarah Luxor,Unknown,Caucasian,"April 23, 1994",2013,A,34A,86,63 cm,86 cm,44 kg,162 cm
Evilyn Fierce,Evelyn Fierce,Unknown,Caucasian,"May 28, 1990",2010,A,32A,81,63 cm,88 cm,49 kg,157 cm
Decima,Emma K,Unknown,Caucasian,Unknown,Unknown,B,34B,86,63 cm,88 cm,Unknown,162 cm
Priscilla Milan,"Pricilla, Jesica Milan, Priscilia Millian, Prescilla Milan, Pricilla Millan, Pricilla Milan",Unknown,Caucasian,"November 6, 1988",2007,C,34C,86,60 cm,86 cm,49 kg,157 cm
Shea,Unknown,Unknown,Caucasian,2002,2022,B,32B,81,66 cm,88 cm,Unknown,167 cm
Peach Lollypop,Unknown,Unknown,Caucasian,"March 6, 2000",2025,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,170 cm
Sky Kika,Unknown,Polish,Caucasian,"August 25, 2000",2025,C,32C,81,86 cm,63 cm,Unknown,165 cm
Juliette March,Elisa ExtremeBeam,Unknown,Caucasian,"December 3, 1988",Unknown,B,34B,86,60 cm,91 cm,49 kg,152 cm
Brianna Olivia,Unknown,British,Caucasian,"January 1, 1995",2024,B,36B,91,73 cm,96 cm,63 kg,170 cm
Angely Grace,"Sophy Angel, Sophy Angelina",Unknown,Caucasian,"January 1, 1999",2019,B,33B,83,55 cm,78 cm,Unknown,167 cm
Satine Spark,Unknown,Unknown,Caucasian,"February 26, 1990",2008,Unknown,Unknown,Unknown,Unknown,Unknown,55 kg,162 cm
Amy Fisher,"Amy Fisher Bellera, Long Island Lolita",Unknown,Caucasian,"August 21, 1974",2007,D,34D,86,60 cm,86 cm,46 kg,157 cm
Lilly Redd,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Valeria Fuentes,Unknown,Spanish,Caucasian,"October 27, 1995",2022,C,38C,96,58 cm,93 cm,Unknown,Unknown
Victoria Lynn,"Chelsea, Victoria Lyn",Unknown,Caucasian,"June 28, 1995",2013,D,32D,81,55 cm,81 cm,44 kg,152 cm
Alice Bong,Alice Shot,Unknown,Caucasian,"May 29, 1996",2018,DDD,32DDD,81,Unknown,Unknown,49 kg,157 cm
Chloe Chaos,Brianne Bailey,Unknown,Caucasian,"November 30, 1989",2012,D,32D,81,63 cm,83 cm,49 kg,152 cm
Jasmine Teaa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Zoey Portland,Zoey Portland XXX,Unknown,Caucasian,Unknown,2013,DD,34DD,86,60 cm,81 cm,54 kg,172 cm
Vivian Lavey,Unknown,Unknown,Caucasian,Unknown,2011,DD,34DD,86,83 cm,88 cm,56 kg,167 cm
Reina Ohara,Unknown,Unknown,Asian,2005,2025,Unknown,Unknown,91,88 cm,58 cm,48 kg,Unknown
Regan Reese,"Reagan Reese, Ragen Reece, Reagan Reece",Unknown,Caucasian,"October 23, 1984",2006,D,32D,81,68 cm,83 cm,49 kg,149 cm
Abby Moore,Unknown,American,Caucasian,1998,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chrissy Marie,"Chrissy Lynn, Chrissy Spice, Christina Marie",Unknown,Caucasian,"July 8, 1989",2009,D,34D,86,60 cm,86 cm,49 kg,162 cm
Ami Bue,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Evelyn Jackson,"Sadie Evelyn, Foxy Sofilie, Sadie Cohen",Russian,Caucasian,"January 1, 1999",2022,B,33B,83,58 cm,83 cm,48 kg,157 cm
Ilona Maher,Unknown,Unknown,Caucasian,"August 12, 1996",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,91 kg,177 cm
Siren Rayne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Leslie Monroe,Leslie Moore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kubera Fortuna,Unknown,Czech,Latin,"September 24, 2004",2025,Unknown,Unknown,Unknown,Unknown,Unknown,45 kg,Unknown
Hete Tina,Unknown,Unknown,Caucasian,Unknown,2016,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,160 cm
Isabelle Ithurburu,Unknown,French,Caucasian,"February 24, 1983",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,172 cm
Jayla Page,Unknown,Unknown,Black,"August 19, 1990",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cassie Young,"Cassie Marie, Cayton, Cassi Young",Unknown,Caucasian,"June 29, 1984",2002,C,34C,86,63 cm,83 cm,54 kg,167 cm
Paige Little,Sexy Little Paige,Unknown,Caucasian,"March 6, 1966",2005,D,32D,81,60 cm,76 cm,41 kg,149 cm
Sasha Kray,Sunny X,Unknown,Caucasian,"August 13, 1996",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arwen Diamond,Arwen Black,Unknown,Caucasian,Unknown,2025,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Honeyyykate,"Kate, OhHoneyKate",Unknown,Caucasian,"June 28, 2001",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,175 cm
Ashley Aixi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cindy Sun,Sini Paananen,Finnish,Caucasian,"January 23, 1990",Unknown,G,30G,76,66 cm,81 cm,48 kg,162 cm
Venom Evil,Unknown,Unknown,Caucasian,"June 19, 1995",2020,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,Unknown
Coco Dethick,Unknown,Unknown,Black,"September 2, 1996",2025,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ginary,"Ginary Suicide, Kinky Ginary",Unknown,Caucasian,"August 7, 1981",2011,C,34C,86,Unknown,Unknown,49 kg,160 cm
Kasara Wood,Unknown,Unknown,Caucasian,"June 29, 1992",2025,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,167 cm
Indigo Augustine,"Indigo August, Indigo Fiasco",Unknown,Caucasian,Unknown,2010,D,33D,83,58 cm,91 cm,49 kg,157 cm
Nici Roxx,"Nikola, Nikki, Clara, Ti Sato, Nici Dee",Unknown,Caucasian,"June 24, 1994",2013,C,32C,81,60 cm,91 cm,48 kg,154 cm
Kenzie Kai,Kenzlee,Unknown,Caucasian,"December 15, 1995",2017,A,32A,81,55 cm,81 cm,41 kg,154 cm
Chantel Cook,TheKinkyCooks,American,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lily May,"Cilla, Big Boobed Cilla",Unknown,Caucasian,"January 1, 1973",2014,F,34F,86,71 cm,91 cm,49 kg,157 cm
Tiffany Kingston,Unknown,Unknown,Caucasian,"January 8, 1982",Unknown,FF,34FF,86,63 cm,86 cm,57 kg,160 cm
Lena Frank,"Leena Franks, Lena Franks, Franki Ryder, Lena Alice, Zoe, Frankie Rider, Franki Rider, Frankie",Unknown,Caucasian,"July 22, 1986",Unknown,C,34C,86,60 cm,88 cm,51 kg,172 cm
Justine Joli,"Swan Hope, Hope, Seana Hawkins, Swan",Unknown,Caucasian,"July 16, 1980",2000,C,34C,86,58 cm,86 cm,51 kg,167 cm
Caroline Ithurbide,Unknown,French,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Natasha James,Marisol Roxx,Unknown,Caucasian,September,2018,C,32C,81,60 cm,81 cm,Unknown,160 cm
Lia Sky,"Lia Light, Julia Devine",Ukrainian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Judy Mayflower,Judy Belkins,Unknown,Caucasian,Unknown,2015,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Krystal Palmer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Melanie De Toni,Toni Maria,Unknown,Latin,"November 28, 1995",2019,B,34B,86,60 cm,86 cm,Unknown,167 cm
Lucie Theodorova,"Sareena Hart, Amanda Heart, Sweet Lucky, Lucky Love",Unknown,Caucasian,"December 18, 1982",2003,B,34B,86,60 cm,86 cm,54 kg,167 cm
Veronique Tinkler,Vero Tinkler,Unknown,Latin,"January 1, 1998",2016,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lily Angelicat,"Clio, Lily Angelic Cat",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Keke Lou,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lola Rayne,Unknown,Unknown,Caucasian,"June 6, 1992",2017,H,42H,106,93 cm,124 cm,94 kg,170 cm
Raven Black,Unknown,Unknown,Caucasian,"July 21, 1975",2002,D,36D,91,71 cm,96 cm,56 kg,160 cm
Lucky Starr,"Lucky Star, Anne Santiago",Unknown,Asian,"October 29, 1972",2009,A,34A,86,68 cm,86 cm,46 kg,149 cm
Melissa Lauren,"Melissa Laven, Melissa Laurent, Malisa Moran, Melissa Louren",Unknown,Caucasian,"October 16, 1984",2003,D,34D,86,58 cm,83 cm,51 kg,162 cm
Kimberly Nutter,"Eniko, Milena, Barran Seleca, Maddie Sermon, Meddie",Unknown,Caucasian,"February 7, 1992",2011,B,34B,86,60 cm,88 cm,48 kg,172 cm
Jasmine Tame,"J-AZZ, Jazzy",Unknown,Caucasian,"February 15, 1986",2005,Unknown,Unknown,Unknown,Unknown,Unknown,45 kg,154 cm
Ashley Robbins,"Jana SemrÃ¡dovÃ¡, Jana S., Jane O'Hara",Unknown,Caucasian,"January 4, 1984",2001,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,162 cm
Sensi Pearl,Cassie Nelson,Unknown,Caucasian,"December 13, 1988",2011,B,32B,81,63 cm,78 cm,43 kg,157 cm
Carmen Cocks,"Jana Horak, Sandra Kalermen, Sandra Lane, Lisen A., Joysen, Joysen Sloun, Carrie, Sandra Kalerman, Jana H., Carmen Jana Horova, Jana Horova",Czech,Caucasian,"August 20, 1984",2004,C,38C,96,58 cm,88 cm,49 kg,165 cm
Katie Sloane,Vienna Rose,Unknown,Caucasian,"May 13, 1999",2017,B,30B,76,68 cm,86 cm,56 kg,160 cm
Nicki Blue,"Aaliyah Avatari, Redheaded Barbie, Nikki Blue, Priceless Gem, Nicky Blue",Unknown,Caucasian,"November 9, 1989",2011,DD,32DD,81,55 cm,86 cm,49 kg,162 cm
Lola Krit,Unknown,Unknown,Caucasian,"September 13, 1996",2017,B,35B,88,60 cm,88 cm,49 kg,162 cm
Aya Kisaki,"Maya Kizaki, Yui Saejima, Miharu Fujisaki, Kisaki Aya, Aya Kizaki",Unknown,Asian,"November 26, 1989",2010,C,34C,86,58 cm,88 cm,46 kg,157 cm
Carmel Starr,"Caramel Dime, Caramel Starr",Unknown,Black,Unknown,2014,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,162 cm
Briar Riley,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sugar Milf,Unknown,Cambodian,Asian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Brittany Banxxx,"Britney Banx, Brittney Banxxx",Unknown,Caucasian,Unknown,2010,C,36C,91,66 cm,91 cm,59 kg,167 cm
Luci Angel,"Lucie Kaplanova, Lucy Angel",Unknown,Caucasian,"August 20, 1983",2013,C,34C,86,68 cm,91 cm,Unknown,160 cm
Sinful Samia,Unknown,Unknown,Caucasian,"September 4, 1985",Unknown,H,36H,91,Unknown,Unknown,113 kg,Unknown
Little Chloe,Unknown,Venezuelan,Latin,"January 1, 2004",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,160 cm
Crissy Cums,"Crissy Cummz, Cristy Cums, Chrissy Cumms, Criss Cums, Chrissy Cums, Crissy Cumms",Unknown,Caucasian,"February 2, 1981",2004,C,32C,81,66 cm,86 cm,56 kg,167 cm
Noelle Emily,Emily Noelle,Unknown,Caucasian,"February 12, 2001",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vanessa Luna,Ruth Planas,Venezuelan,Latin,"January 1, 1980",2013,D,34D,86,68 cm,99 cm,49 kg,152 cm
Lyn Hoyt,Unknown,American,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,164 cm
Bronwin Aurora,Unknown,Canadian,Caucasian,March 2002,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,154 cm
Katie Lin,Unknown,Unknown,Asian,"December 8, 1986",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lacey Starr,Unknown,British,Caucasian,"July 27, 1959",2013,GG,42GG,106,86 cm,101 cm,72 kg,162 cm
Nikki Litte,Unknown,Unknown,Latin,"July 18, 1996",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,162 cm
Adara Jordin,Unknown,Unknown,Caucasian,"July 17, 1986",Unknown,C,32C,81,66 cm,78 cm,56 kg,157 cm
Sommer Love,Unknown,Unknown,Caucasian,"July 11, 1993",2020,C,36C,91,63 cm,93 cm,59 kg,162 cm
Tilly Mcreese,Unknown,Unknown,Caucasian,"March 27, 1987",2009,B,32B,81,66 cm,86 cm,49 kg,162 cm
Kelli Staxxx,Kelly Staxxx,Unknown,Caucasian,"November 13, 1982",2009,DDD,36DDD,91,71 cm,111 cm,70 kg,162 cm
Kendra Lynn,Unknown,Unknown,Caucasian,"February 21, 1994",2013,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,160 cm
Raquel Roper,Unknown,Unknown,Latin,"June 8, 1993",2014,B,36B,91,60 cm,86 cm,51 kg,157 cm
Mia Molotov,Unknown,Unknown,Caucasian,"November 15, 1999",2021,B,32B,81,60 cm,88 cm,64 kg,177 cm
Babe Bella Lynn,"BabeBellaLynn, Bella Lynn",Unknown,Caucasian,"October 9, 2000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,157 cm
Kenzi Marie,"Kinzie Marie, Kenzie Mari, Kenzie Marie, Kinzi Marie",Unknown,Caucasian,"November 24, 1987",2007,DD,32DD,81,55 cm,86 cm,44 kg,149 cm
Antonella Kahllo,Antonella Kahlo,Unknown,Latin,"April 25, 1978",2013,JJ,32JJ,81,60 cm,86 cm,61 kg,154 cm
Regina Ice,"Maria Iscusitu, Mika King",Unknown,Caucasian,"October 11, 1984",2006,Unknown,Unknown,Unknown,Unknown,Unknown,55 kg,167 cm
Hannah Owo,Unknown,Unknown,Caucasian,"November 21, 2002",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,165 cm
Bailey Brooks,"Baily Brooks, Bailey Brookes, Bailey Brook",Unknown,Caucasian,"January 9, 1982",2005,D,34D,86,63 cm,91 cm,56 kg,167 cm
Ally Breelsen,"Ally Jones, Angelina Doroshenkova, Ally Lee, Jaclyn Taylor",Unknown,Caucasian,"March 16, 1994",2015,A,35A,88,63 cm,93 cm,48 kg,162 cm
Little Eliss,"Zara Kick, Zara Lick",Unknown,Caucasian,"March 6, 1999",2020,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Katharina Rough,"Katy Rough, Katharina Bauer",Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Elise Siswet,Unknown,Dutch,Caucasian,"March 10, 1995",Unknown,B,34B,86,63 cm,88 cm,59 kg,175 cm
Princess Paris,Unknown,Unknown,Caucasian,Unknown,2017,D,36D,91,81 cm,91 cm,54 kg,167 cm
Ashley Alban,Unknown,Unknown,Caucasian,"April 4, 1994",Unknown,D,34D,86,63 cm,96 cm,56 kg,167 cm
Katie Price,"Katie Jordan, Katrina Alexandra Infield, Katy Price, Jordan",British,Caucasian,"May 22, 1978",1998,D,40D,101,60 cm,86 cm,54 kg,160 cm
Aire Fresco,Unknown,Unknown,Caucasian,Unknown,2013,DD,40DD,101,81 cm,139 cm,94 kg,167 cm
Chelsea Star,"Effy End, Sasha Xray",Unknown,Caucasian,"January 1, 2000",2019,B,30B,76,58 cm,78 cm,Unknown,154 cm
Tiggle Bitties,Destiny S,American,Caucasian,"September 26, 1991",Unknown,J,44J,111,76 cm,101 cm,70 kg,170 cm
Alice Delish,Alisa Levina,Unknown,Caucasian,"May 3, 2002",2019,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,160 cm
Lizzie Ryan,"Lizzi, Avia, Lizzy Ryan, Luci Moricka, Angela, Avia A, Morgan, Karla, Morgane, Elizabeth Ryan",Unknown,Caucasian,"August 1, 1988",Unknown,C,36C,91,60 cm,91 cm,51 kg,170 cm
Andreea Mares,"Andreea BlackWidof, Andreea Maresof, Andreea Diana Mares",Romanian,Caucasian,"September 27, 2002",2022,Unknown,Unknown,Unknown,Unknown,Unknown,55 kg,157 cm
Californiababe,Alex Martens,Unknown,Caucasian,"April 17, 1995",2022,D,32D,81,60 cm,88 cm,47 kg,162 cm
Skyler Luv,Unknown,Unknown,Caucasian,"August 11, 1988",Unknown,D,34D,86,66 cm,91 cm,61 kg,162 cm
Jasmine Callipygian,Unknown,Unknown,Caucasian,Unknown,Unknown,B,34B,86,Unknown,Unknown,Unknown,162 cm
Alexis Arias,Lexi Love,American,Latin,"May 6, 2003",Unknown,G,36G,91,71 cm,96 cm,57 kg,154 cm
Katrina Isis,"Katrina Rosebug, Katarina Isis, Katrina Rosebud",Unknown,Caucasian,"December 15, 1976",2005,B,34B,86,66 cm,86 cm,51 kg,167 cm
Chicas Place,"Chica's Place, Chica",American,Latin,"June 20, 1980",2008,D,34D,86,63 cm,86 cm,49 kg,154 cm
Gianna Chanel,"Nikki Starlet, Bianca, Sandra Leon, Sophie Leon, Gia Grace, Aleksandra Summers",Unknown,Latin,"April 15, 1973",2015,DD,36DD,91,Unknown,Unknown,65 kg,170 cm
Sissy Moore,Unknown,Unknown,Caucasian,"June 7, 2003",2022,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,165 cm
Isabella Sky,"Tara FTV, Maritza Meatsaber, Isabella Skye",Unknown,Latin,"July 9, 1982",2002,B,34B,86,60 cm,86 cm,49 kg,162 cm
Kenzi Ryans,"AlaynaJadexx, Kenzie Ryans, Alayna Jade",Unknown,Caucasian,"January 1, 1998",2018,C,32C,81,63 cm,81 cm,51 kg,154 cm
Anouk Maze,Unknown,Unknown,Caucasian,"October 14, 1996",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,162 cm
Jordan Carver,Ina-Maria Schnitzer,German,Caucasian,"January 30, 1986",2008,HH,39HH,99,60 cm,88 cm,54 kg,167 cm
Alyssia Loop,Unknown,Unknown,Caucasian,"September 23, 1988",Unknown,C,34C,86,63 cm,91 cm,54 kg,172 cm
Alice Lolly,"Licy Woap, Alice Woap, Magic Alice",Unknown,Caucasian,"January 1, 2003",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Maylee Fun,Unknown,Unknown,Asian,"July 20, 2000",2021,Unknown,Unknown,Unknown,Unknown,Unknown,43 kg,154 cm
Rebeca Fox,Unknown,Unknown,Caucasian,"July 12, 2000",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Skai Jackson,Unknown,Unknown,Black,"April 8, 2002",2007,Unknown,Unknown,81,Unknown,Unknown,Unknown,Unknown
Katerina Konec,"Kathryn McIntyre, Busty Kacey, Kelsey Konicki",Unknown,Caucasian,"August 30, 1981",2001,DD,42DD,106,63 cm,86 cm,62 kg,162 cm
Aaliyah May,Unknown,American,Caucasian,"May 23, 2002",2023,Unknown,Unknown,Unknown,Unknown,Unknown,62 kg,165 cm
Jessica Valero,"Violetta Rondon, Chuky Dream, Isabella Nunez Yeka",Venezuelan,Latin,"November 20, 1997",2017,H,36H,91,66 cm,91 cm,60 kg,160 cm
Kaira Kampen,Unknown,German,Caucasian,"March 17, 1996",2023,C,28C,71,60 cm,76 cm,Unknown,165 cm
Kayla Wild,Unknown,Unknown,Caucasian,1992,2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Andrea Jaxxx,"Penelope, Essence, Andrea Jaxx",Unknown,Caucasian,"June 20, 1974",Unknown,DD,34DD,86,60 cm,86 cm,49 kg,149 cm
Nelli Hunter,"Nella Miartusova, Jana Miartusova, Jana Mar, Terry Lightspeed, Thereza Llove, Jana Lelani",Unknown,Caucasian,"September 9, 1983",2003,D,34D,86,60 cm,88 cm,44 kg,165 cm
Ashley Morena,Unknown,French,Caucasian,"June 20, 1996",Unknown,D,15D,38,Unknown,Unknown,Unknown,Unknown
Jenna Marie,Unknown,Unknown,Caucasian,"November 25, 1994",2014,Unknown,Unknown,Unknown,Unknown,Unknown,45 kg,162 cm
Generic Elle,"Elle Delphine, Garden Variety Egirl, Generic Egirl",Unknown,Caucasian,2000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,175 cm
Eva Torres,"Leonella Knox, Leonelle Knoxville",Unknown,Caucasian,"September 21, 1988",2010,B,32B,81,60 cm,88 cm,49 kg,162 cm
Tylo Duran,Unknown,American,Caucasian,"May 1, 1972",2016,DD,36DD,91,63 cm,86 cm,51 kg,162 cm
